order,family,species,common,urban,sociality,trophic,consumption,cjejuni,ccoli,campy,mass
Artiodactyla,Cervidae,Alces alces,moose ,Visitor,Solitary,Herbivore,Yes,1,0,1,520000
Artiodactyla,Antilocapridae,Antilocapra americana,pronghorn,Avoider,Social,Herbivore,Yes,0,,0,53500
Primates,Aotidae,Aotus spp,night monkeys,Visitor,Social,Omnivore,No,0,0,0,854.5
Rodentia,Muridae,Apodemus flavicollis,yellow-necked mouse,Dweller,Solitary,Omnivore,No,1,0,1,
Rodentia,Muridae,Apodemus speciosus,large Japanese field mouse,Dweller,Solitary,Herbivore,No,,,0,
Rodentia,Muridae,Apodemus sylvaticus,wood mouse,Dweller,Solitary,Omnivore,No,0,0,0,23.4
Carnivora,Otariidae,Arctocephalus gazella,Antarctic fur seal,Avoider,Solitary,Carnivore,No,0,0,1,
Primates,Atelidae,Ateles paniscus,red-faced spider monkey,Visitor,Social,Omnivore,Yes,0,0,0,7887.5
Eulipotyphla,Soricidae,Blarina brevicauda,northern short-tailed shrew,Dweller,Solitary,Carnivore,No,0,0,0,24
Artiodactyla,Cervidae,Blastocerus dichotomus,marsh deer,Visitor,Solitary,Herbivore,Yes,0,0,0,107000
Primates,Callitrichidae,Callithrix spp,monkeys,Dweller,Social,Omnivore,Yes,1,,1,306
Artiodactyla,Bovidae,Capra pyrenaica,iberian ibex ,Avoider,Social,Herbivore,Yes,0,0,0,57500
Artiodactyla,Cervidae,Capreolus capreolus,roe deer ,Visitor,Social,Herbivore,Yes,0,0,1,26000
Chiroptera,Phyllostomidae,Carollia perspicillata,Seba's short-tailed bat,Visitor/Dweller,Social,Herbivore,Yes,0,0,0,15
Rodentia,Castoridae,Castor canadensis,beaver,Visitor/Dweller,Social,Herbivore,Yes,0,0,0,22500
Rodentia,Castoridae,Castor fiber,Eurasian beaver,Visitor/Dweller,Social,Herbivore,Yes,0,0,0,24000
Primates,Cebidae,Cebus albifrons,white-fronted capuchin,Visitor,Social,Omnivore,Yes,0,0,0,2200
Primates,Cebidae,Cebus apella,tufted capuchin,Visitor,Social,Omnivore,Yes,1,1,1,3050
Artiodactyla,Cervidae,Cervus canadensis,elk,Visitor,Solitary,Herbivore,Yes,0,0,0,282000
Artiodactyla,Cervidae,Cervus elaphus,red deer ,Visitor,Social,Herbivore,Yes,1,1,1,282000
Artiodactyla,Cervidae,Cervus nippon,sika deer ,Dweller,Solitary,Herbivore,Yes,0,0,0,42250
Primates,Cercopithecidae,Chlorocebus aethiops,green monkey,Visitor,Social,Herbivore,Yes,1,1,1,4000
Rodentia,Cricetidae,Clethrionomys glareolus,bank vole,Avoider,Solitary,Omnivore,No,1,0,1,18.5
Eulipotyphla,Soricidae,Crocidura russula,white-toothed shrew,Dweller,Solitary,Carnivore,No,0,0,0,12.5
Chiroptera,Pteropodidae,Cynopterus brachyotis,lesser short-nosed fruit bat,Visitor/Dweller,Solitary,Herbivore,Yes,0,0,0,65
Artiodactyla,Cervidae,Dama dama,fallow deer,Visitor,Social,Herbivore,Yes,0,0,0,55000
Artiodactyla,Cervidae,Dama mesopotamica,persian fallow deer,Visitor,Social,Herbivore,Yes,1,1,1,
Chiroptera,Phyllostomidae,Desmodus rotundus,common vampire bat,Visitor/Dweller,Social,Carnivore,No,0,0,0,32.5
Chiroptera,Phyllostomidae,Diaemus youngi,white-winged vampire bat,Visitor,Social,Carnivore,No,0,0,0,40
Didelphimorphia,Didelphidae,Didelphis virginiana,opossum ,Dweller,Solitary,Omnivore,Yes,0,0,1,3950
Carnivora,Mustelidae,Enhydra lutris,sea otter,Avoider,Social,Carnivore,No,,,1,29500
